Player,Team,Position,Age_Years,Minutes,Season,Date
Bruno Fernandes,Manchester United,"FW,AM",29,90,2024-25,2024-08-16
Marcus Rashford,Manchester United,LW,26,90,2024-25,2024-08-16
Amad Diallo,Manchester United,RW,22,60,2024-25,2024-08-16
Alejandro Garnacho,Manchester United,RW,20,30,2024-25,2024-08-16
Mason Mount,Manchester United,AM,25,60,2024-25,2024-08-16
Joshua Zirkzee,Manchester United,FW,23,30,2024-25,2024-08-16
Kobbie Mainoo,Manchester United,DM,19,83,2024-25,2024-08-16
Scott McTominay,Manchester United,DM,27,7,2024-25,2024-08-16
Casemiro,Manchester United,DM,32,90,2024-25,2024-08-16
Diogo Dalot,Manchester United,"LB,RB",25,90,2024-25,2024-08-16
Lisandro Martínez,Manchester United,"CB,LB",26,90,2024-25,2024-08-16
Harry Maguire,Manchester United,CB,31,80,2024-25,2024-08-16
Jonny Evans,Manchester United,CB,36,10,2024-25,2024-08-16
Noussair Mazraoui,Manchester United,RB,26,80,2024-25,2024-08-16
Matthijs de Ligt,Manchester United,CB,25,10,2024-25,2024-08-16
André Onana,Manchester United,GK,28,90,2024-25,2024-08-16
Rodrigo Muniz,Fulham,FW,23,77,2024-25,2024-08-16
Raúl Jiménez,Fulham,FW,33,13,2024-25,2024-08-16
Alex Iwobi,Fulham,LW,28,90,2024-25,2024-08-16
Adama Traoré,Fulham,RW,28,77,2024-25,2024-08-16
Harry Wilson,Fulham,RW,27,13,2024-25,2024-08-16
Emile Smith Rowe,Fulham,AM,24,63,2024-25,2024-08-16
Tom Cairney,Fulham,"DM,AM",33,27,2024-25,2024-08-16
Saša Lukić,Fulham,DM,28,89,2024-25,2024-08-16
Jay Stansfield,Fulham,"AM,DM",21,1,2024-25,2024-08-16
Andreas Pereira,Fulham,"DM,AM",28,89,2024-25,2024-08-16
Harrison Reed,Fulham,DM,29,1,2024-25,2024-08-16
Antonee Robinson,Fulham,LB,27,90,2024-25,2024-08-16
Calvin Bassey,Fulham,CB,24,90,2024-25,2024-08-16
Issa Diop,Fulham,CB,27,90,2024-25,2024-08-16
Kenny Tete,Fulham,RB,28,90,2024-25,2024-08-16
Bernd Leno,Fulham,GK,32,90,2024-25,2024-08-16
Liam Delap,Ipswich Town,FW,21,73,2024-25,2024-08-17
Ali Al Hamadi,Ipswich Town,FW,22,17,2024-25,2024-08-17
Omari Hutchinson,Ipswich Town,"LW,RW",20,90,2024-25,2024-08-17
Wes Burns,Ipswich Town,RW,29,56,2024-25,2024-08-17
Ben Johnson,Ipswich Town,"RB,RW",24,34,2024-25,2024-08-17
Conor Chaplin,Ipswich Town,AM,27,64,2024-25,2024-08-17
Marcus Harness,Ipswich Town,AM,28,26,2024-25,2024-08-17
Massimo Luongo,Ipswich Town,DM,31,64,2024-25,2024-08-17
Jack Taylor,Ipswich Town,DM,26,26,2024-25,2024-08-17
Sam Morsy,Ipswich Town,DM,32,90,2024-25,2024-08-17
Leif Davis,Ipswich Town,LB,24,90,2024-25,2024-08-17
Jacob Greaves,Ipswich Town,CB,23,90,2024-25,2024-08-17
Luke Woolfenden,Ipswich Town,CB,25,90,2024-25,2024-08-17
Axel Tuanzebe,Ipswich Town,RB,26,73,2024-25,2024-08-17
Sammie Szmodics,Ipswich Town,LW,28,17,2024-25,2024-08-17
Christian Walton,Ipswich Town,GK,28,90,2024-25,2024-08-17
Diogo Jota,Liverpool,FW,27,78,2024-25,2024-08-17
Cody Gakpo,Liverpool,FW,25,12,2024-25,2024-08-17
Luis Díaz,Liverpool,LW,27,90,2024-25,2024-08-17
Mohamed Salah,Liverpool,RW,32,90,2024-25,2024-08-17
Dominik Szoboszlai,Liverpool,AM,23,90,2024-25,2024-08-17
Alexis Mac Allister,Liverpool,DM,25,90,2024-25,2024-08-17
Ryan Gravenberch,Liverpool,DM,22,90,2024-25,2024-08-17
Andrew Robertson,Liverpool,LB,30,78,2024-25,2024-08-17
Kostas Tsimikas,Liverpool,LB,28,12,2024-25,2024-08-17
Virgil van Dijk,Liverpool,CB,33,90,2024-25,2024-08-17
Jarell Quansah,Liverpool,CB,21,45,2024-25,2024-08-17
Ibrahima Konaté,Liverpool,CB,25,45,2024-25,2024-08-17
Trent Alexander-Arnold,Liverpool,RB,25,76,2024-25,2024-08-17
Conor Bradley,Liverpool,RB,21,14,2024-25,2024-08-17
Alisson,Liverpool,GK,31,90,2024-25,2024-08-17
Alexander Isak,Newcastle United,FW,24,90,2024-25,2024-08-17
Anthony Gordon,Newcastle United,LW,23,69,2024-25,2024-08-17
