Team,Season,TotalPoints,TotalGamesPlayed,TotalWins,TotalDraws,TotalLosses,GoalsFor,GoalsAgainst,GoalDifference,WinRatio,LossRatio,PointsPerGame
Blackburn,2024,38,23,11,5,7,27,21,6,0.478,0.304,1.65
Blackburn,2025,28,23,8,4,11,26,27,-1,0.348,0.478,1.22
Bristol City,2024,33,24,8,9,7,30,28,2,0.333,0.292,1.38
Bristol City,2025,35,22,9,8,5,29,27,2,0.409,0.227,1.59
Burnley,2024,48,24,13,9,2,30,9,21,0.542,0.083,2
Burnley,2025,52,22,15,7,0,39,7,32,0.682,0,2.36
Cardiff,2024,21,23,5,6,12,23,38,-15,0.217,0.522,0.91
Cardiff,2025,23,23,4,11,8,25,35,-10,0.174,0.348,1
Coventry,2024,28,24,7,7,10,32,34,-2,0.292,0.417,1.17
Coventry,2025,41,22,13,2,7,32,24,8,0.591,0.318,1.86
Derby,2024,27,24,7,6,11,29,30,-1,0.292,0.458,1.12
Derby,2025,23,22,6,5,11,19,26,-7,0.273,0.5,1.05
Hull,2024,22,24,5,7,12,22,32,-10,0.208,0.5,0.92
Hull,2025,27,22,7,6,9,22,22,0,0.318,0.409,1.23
Leeds,2024,51,24,15,6,3,44,15,29,0.625,0.125,2.12
Leeds,2025,49,22,14,7,1,51,15,36,0.636,0.045,2.23
Luton,2024,25,24,7,4,13,26,41,-15,0.292,0.542,1.04
Luton,2025,24,22,6,6,10,19,28,-9,0.273,0.455,1.09
Middlesbrough,2024,37,24,10,7,7,41,31,10,0.417,0.292,1.54
Middlesbrough,2025,27,22,8,3,11,23,25,-2,0.364,0.5,1.23
Millwall,2024,29,23,7,8,8,22,20,2,0.304,0.348,1.26
Millwall,2025,37,23,11,4,8,25,29,-4,0.478,0.348,1.61
Norwich,2024,30,24,7,9,8,40,36,4,0.292,0.333,1.25
Norwich,2025,27,22,7,6,9,31,32,-1,0.318,0.409,1.23
Oxford,2024,24,23,6,6,11,26,39,-13,0.261,0.478,1.04
Oxford,2025,29,23,7,8,8,23,26,-3,0.304,0.348,1.26
Plymouth,2024,18,23,4,6,13,22,51,-29,0.174,0.565,0.78
Plymouth,2025,28,23,7,7,9,29,37,-8,0.304,0.391,1.22
Portsmouth,2024,20,22,4,8,10,26,40,-14,0.182,0.455,0.91
Portsmouth,2025,34,24,10,4,10,32,31,1,0.417,0.417,1.42
Preston,2024,29,24,6,11,7,26,30,-4,0.25,0.292,1.21
Preston,2025,21,22,4,9,9,22,29,-7,0.182,0.409,0.95
QPR,2024,26,24,5,11,8,24,32,-8,0.208,0.333,1.08
QPR,2025,30,22,9,3,10,29,31,-2,0.409,0.455,1.36
Sheffield United,2024,51,24,15,6,3,33,14,19,0.625,0.125,2.12
Sheffield United,2025,41,22,13,2,7,30,22,8,0.591,0.318,1.86
Sheffield Weds,2024,33,24,9,6,9,32,36,-4,0.375,0.375,1.38
Sheffield Weds,2025,25,22,6,7,9,28,33,-5,0.273,0.409,1.14
Stoke,2024,25,24,6,7,11,24,32,-8,0.25,0.458,1.04
Stoke,2025,26,22,6,8,8,21,30,-9,0.273,0.364,1.18
Sunderland,2024,44,24,12,8,4,36,21,15,0.5,0.167,1.83
Sunderland,2025,32,22,9,5,8,22,23,-1,0.409,0.364,1.45
Swansea,2024,33,24,9,6,9,29,25,4,0.375,0.375,1.38
Swansea,2025,28,22,8,4,10,22,31,-9,0.364,0.455,1.27
Watford,2024,37,23,11,4,8,33,31,2,0.478,0.348,1.61
Watford,2025,20,23,5,5,13,20,30,-10,0.217,0.565,0.87
West Brom,2024,36,24,8,12,4,28,19,9,0.333,0.167,1.5
West Brom,2025,28,22,7,7,8,29,28,1,0.318,0.364,1.27
